track_name,popularity,artists,title,views,channel_title
I'm Yours,80,Jason Mraz,Jason Mraz  - Have It All [Official Video],475557,Jason Mraz
Animals,3,Nickelback,Nickelback - The Betrayal Act III [Official Video],57169,Nickelback
Somebody Else,73,The 1975,The 1975 - Give Yourself A Try,1053884,The 1975
Honeybrains,3,Royal Blood,Royal Blood - Look Like You Know (Official Video),56553,Royal Blood
In the End,85,Linkin Park,Linkin Park & Friends Celebrate Life in Honor of Chester Bennington (Recap Video),615364,Linkin Park
In the End,85,Linkin Park,Crawling (One More Light Live) - Linkin Park,523885,Linkin Park
In the End,85,Linkin Park,Talking to Myself (Official Lyric Video) - Linkin Park,217025,Linkin Park
In the End,85,Linkin Park,Enth E Nd (Official Video) - Linkin Park,874106,Linkin Park
Clint Eastwood,3,Gorillaz,Gorillaz - Humility (Official Video),3490465,Gorillaz
All Summer Long,0,Kid Rock,Kid Rock - American Rock 'n Roll (Official Video),101830,Kid Rock
Make Me Feel,0,Janelle Monáe,Janelle Monáe - Dirty Computer [Trailer],132583,Janelle Monáe
Make Me Feel,0,Janelle Monáe,Janelle Monáe – Make Me Feel [Official Music Video],631429,Janelle Monáe
Make Me Feel,0,Janelle Monáe,Janelle Monáe - PYNK [Official Video],3212650,Janelle Monáe
Make Me Feel,0,Janelle Monáe,Janelle Monáe – I Like That [Official Audio],306780,Janelle Monáe
Make Me Feel,0,Janelle Monáe,Janelle Monáe - I Like That [Official Video],1019138,Janelle Monáe
Rain,47,Rob Scallon,All Tritones Song (the devil's interval),246607,Rob Scallon
Rain,47,Rob Scallon,"Getting Delay, without using any effects...",380480,Rob Scallon
Rain,47,Rob Scallon,Making a Song in 57 Minutes,239139,Rob Scallon
IF I DON'T TEXT YOU FIRST,58,Tiffany Day,singing the same song 6 years later..,2239777,Tiffany Day
Favorite Time Of Year,1,Carrie Underwood,Carrie Underwood - Cry Pretty (Official Lyric Video),859034,Carrie Underwood
No Body,3,Blake Shelton,Blake Shelton - I Lived It (Official Music Video),279586,Blake Shelton
Wanted,0,Hunter Hayes,Hunter Hayes - You Should Be Loved (Part One Of Pictures),13917,Hunter Hayes
Wanted,0,Hunter Hayes,Hunter Hayes - More (Part Two Of Pictures),18630,Hunter Hayes
Wanted,0,Hunter Hayes,Hunter Hayes - This Girl (Part Three Of Pictures),31701,Hunter Hayes
Strawberries & Cigarettes,82,Troye Sivan,MY MY MY! TRAILER,349419,Troye Sivan
I Like Me Better,83,Lauv,Lauv - Paris in the Rain [Official Video],178887,Lauv
I Like Me Better,83,Lauv,Lauv - Getting Over You [Official Audio],452982,Lauv
I Like Me Better,83,Lauv,Lauv - Chasing Fire [Official Audio],514749,Lauv
I Like Me Better,83,Lauv,Lauv - Bracelet [Official Audio],352464,Lauv
Attention,83,Charlie Puth,Charlie Puth - If You Leave Me Now (feat. Boyz II Men) [Official Audio],585791,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth (feat. Boyz II Men) - If You Leave Me Now (Studio Session),386725,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Done For Me (feat. Kehlani) [Official Audio],722009,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Change (feat. James Taylor) [Official Audio],865446,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Change (feat. James Taylor) [Official Live Performance],554050,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Done For Me (feat. Kehlani) [Official Video],2843450,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Done For Me (Jazz Version),1181967,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - The Way I Am [Official Lyric Video],2640906,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - BOY [Official Audio],981789,Charlie Puth
Levitating,84,Dua Lipa,Dua Lipa - Golden Slumbers,276231,Dua Lipa
Levitating,84,Dua Lipa,Dua Lipa - IDGAF (Official Music Video),5247220,Dua Lipa
There's Nothing Holdin' Me Back,86,Shawn Mendes,Shawn Mendes In My Blood (Audio),4321512,Shawn Mendes
There's Nothing Holdin' Me Back,86,Shawn Mendes,Shawn Mendes Lost In Japan (Audio),2763271,Shawn Mendes
There's Nothing Holdin' Me Back,86,Shawn Mendes,Shawn Mendes: The Album,799742,Shawn Mendes
There's Nothing Holdin' Me Back,86,Shawn Mendes,Shawn Mendes: The Tour - Official Trailer,332910,Shawn Mendes
Family Affair (Dance for Me),4,David Guetta,David Guetta & Afrojack ft Charli XCX & French Montana - Dirty Sexy Money (Official Video),553971,David Guetta
Family Affair (Dance for Me),4,David Guetta,"David Guetta, Martin Garrix & Brooks - Like I Do (Lyric Video)",362255,David Guetta
Family Affair (Dance for Me),4,David Guetta,David Guetta & Sia - Flames (Lyric Video),693549,David Guetta
Family Affair (Dance for Me),4,David Guetta,David Guetta & Sia - Flames (Official Video),769927,David Guetta
It Will Rain,0,Bruno Mars,Bruno Mars - Live At The Apollo Theater [Official Trailer] (November 29th on CBS),301265,Bruno Mars
It Will Rain,0,Bruno Mars,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],548621,Bruno Mars
Take You Dancing,78,Jason Derulo,Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),1282413,Jason Derulo
Take You Dancing,78,Jason Derulo,Jason Derulo - Colors (Coca-Cola® Anthem for the 2018 FIFA World CupTM),404160,Jason Derulo
Take You Dancing,78,Jason Derulo,Jason Derulo - Colors (Official Music Video) The Coca-Cola Anthem for the 2018 World Cup,3035143,Jason Derulo
Take You Dancing,78,Jason Derulo,Jason Derulo - Colors (Official Music Video) The Coca-Cola Anthem for the 2018 FIFA World Cup,7656044,Jason Derulo
I'm a Mess,74,Bebe Rexha,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Fan Video],268074,Bebe Rexha
I'm a Mess,74,Bebe Rexha,Bebe Rexha - Meant To Be (Acoustic),324964,Bebe Rexha
I'm a Mess,74,Bebe Rexha,Bebe Rexha - 2 Souls on Fire (feat. Quavo) [Lyric Video],277144,Bebe Rexha
I'm a Mess,74,Bebe Rexha,Bebe Rexha - 2 Souls on Fire (feat. Quavo) [Official Lyric Video],477465,Bebe Rexha
I'm a Mess,74,Bebe Rexha,Bebe Rexha - Ferrari [Official Lyric Video],953189,Bebe Rexha
Super Freaky Girl,92,Nicki Minaj,Nicki Minaj - Chun-Li (Music Video),2376410,Nicki Minaj
Super Freaky Girl,92,Nicki Minaj,Nicki Minaj - Chun-Li (Vertical Video),12571504,Nicki Minaj
Never Be the Same,74,Camila Cabello,Camila Cabello - Never Be The Same,496336,Camila Cabello
Never Be the Same,74,Camila Cabello,Camila Cabello - Live from Youtube,325790,Camila Cabello
Never Be the Same,74,Camila Cabello,Made in Miami (Artist Spotlight Story) - Camila Cabello,543891,Camila Cabello
Be Careful,0,Cardi B,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",8227432,Cardi B
Alone,73,Marshmello,Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,1685073,Marshmello
Alone,73,Marshmello,Marshmello - Fly (Official Music Video),1965219,Marshmello
Alone,73,Marshmello,Marshmello - FLY (Official Music Video),4787890,Marshmello
Alone,73,Marshmello,Marshmello x Juicy J - You Can Cry (Ft. James Arthur) (Official Video),2008491,Marshmello
Alone,73,Marshmello,Marshmello - TELL ME,815893,Marshmello
Animals,56,Martin Garrix,Martin Garrix & David Guetta - So Far Away (feat. Jamie Scott & Romy Dya) (Official Video),1418342,Martin Garrix
8 Letters,74,Why Don't We,Kiss You This Christmas - Why Don't We [Official Music Video],626351,Why Don't We
REMEDY,0,Alesso,"J. Balvin, Willy William - Mi Gente (Alesso Remix) with Anwar Jibawi",373301,Alesso
REMEDY,0,Alesso,"J. Balvin, Willy William - Mi Gente (Alesso Remix) with Anwar Jibawi [Official Music Video]",1747740,Alesso
Nightingale,0,Clean Bandit,Clean Bandit - Solo feat. Demi Lovato [Official Video],1112092,Clean Bandit
1x1,0,Galantis,Galantis & Throttle - Tell Me You Love Me (Official Music Video),197485,Galantis
bad guy,84,Billie Eilish,Billie Eilish - lovely (with Khalid) Audio,222322,Billie Eilish
Faded,80,Alan Walker,Alan Walker - All Falls Down (Behind The Scenes),746092,Alan Walker
Faded,80,Alan Walker,Alan Walker - Faded (Live Performance),539308,Alan Walker
Faded,80,Alan Walker,Noah Cyrus - Again (Alan Walker Remix),383425,Alan Walker
Faded,80,Alan Walker,Alan Walker - All Falls Down (Mio Remix),591161,Alan Walker
Faded,80,Alan Walker,Kygo - Stranger Things ft. OneRepublic (Alan Walker Remix),545655,Alan Walker
Faded,80,Alan Walker,"Alan Walker, Keala Settle & The Greatest Showman Ensemble - This Is Me (Alan Walker Relift)",811636,Alan Walker
Santa Baby,0,Kylie Minogue,Kylie Minogue - Stop Me From Falling (Official Audio),189447,Kylie Minogue
Porcelain,30,Moby,Moby - Like A Motherless Child (Official Video),41958,Moby
Save That Shit,78,Lil Peep,Lil Peep - Save That Shit (Official Video),1514148,Lil Peep
Let Her Go,75,Passenger,Passenger | Simple Song (Official Video),144177,Passenger
Riptide,82,Vance Joy,Vance Joy  - We're Going Home [Official Video],91212,Vance Joy
Riptide,82,Vance Joy,Vance Joy - Call If You Need Me [Official Video],236409,Vance Joy
Purple Rain,75,Prince,Prince - Nothing Compares 2 U [OFFICIAL VIDEO],866303,Prince
RUMBATÓN,3,Daddy Yankee,Daddy Yankee - Hielo (Video Oficial),9761348,Daddy Yankee
No Role Modelz,88,J. Cole,J. Cole - Kevin's Heart,6045117,J. Cole
Hold My Hand,1,Jess Glynne,Jess Glynne - I'll Be There [Official Video],678094,Jess Glynne
My Pony,43,R3HAB,R3HAB x Mike Williams - Lullaby (Official Video),97094,R3HAB
My Pony,43,R3HAB,R3HAB x Lia Marie Johnson - The Wave (Official Video),490534,R3HAB
Virtual Aerobics,0,Wallows,Wallows - Pictures of Girls (Official Video),22580,Wallows
for the girls,0,Hayley Kiyoko,Hayley Kiyoko - Curious [Official Video],966029,Hayley Kiyoko
Feeling Good,73,Michael Bublé,Michael Bublé - White Christmas (ft. Shania Twain) [Official HD],190152,Michael Bublé
LOVE SCENARIO,71,iKON,iKON - ‘사랑을 했다(LOVE SCENARIO)’ M/V,4475534,iKON
REALLY REALLY,64,WINNER,WINNER - ‘EVERYDAY’ M/V,4443529,WINNER
Mañana,73,Ozuna,Ozuna - Música Sin Fronteras (A YouTube Documentary),1498866,Ozuna
You Raise Me Up,61,Josh Groban,Josh Groban - Happy Xmas (War Is Over) [Official Music Video],43667,Josh Groban
You Raise Me Up,61,Josh Groban,Josh Groban with Tony Bennett - Christmas Time Is Here (Official Music Video),27459,Josh Groban
You Raise Me Up,61,Josh Groban,Josh Groban - Granted (Official Lyric Video),116841,Josh Groban
"Rocket Man (I Think It's Going To Be A Long, Long Time)",81,Elton John,"Elton John - His Past, London's Present. A Taste Of The Future.",60398,Elton John
Still With You,57,Smyang Piano,Jonghyun Lonely (Feat. 태연) - Piano Cover,33211,Smyang Piano
Blinding Lights,91,The Weeknd,The Weeknd - Call Out My Name (Official Audio),3233699,The Weeknd
Perfect,87,Ed Sheeran,Ed Sheeran - Perfect (Official Music Video),33523622,Ed Sheeran
Perfect,87,Ed Sheeran,Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],8128270,Ed Sheeran
Perfect,87,Ed Sheeran,Ed Sheeran - Perfect Symphony (with Andrea Bocelli),5988303,Ed Sheeran
Perfect,87,Ed Sheeran,Ed Sheeran - Supermarket Flowers [Live from the BRITs 2018],906053,Ed Sheeran
Perfect,87,Ed Sheeran,Ed Sheeran - Happier (Official Video),5907608,Ed Sheeran
You Belong With Me (Taylor’s Version),9,Taylor Swift,The Making of a Song: “Delicate” – watch more on Taylor Swift NOW,125645,Taylor Swift
You Belong With Me (Taylor’s Version),9,Taylor Swift,Taylor Swift's reputation Stadium Tour - Trailer,154695,Taylor Swift
You Belong With Me (Taylor’s Version),9,Taylor Swift,End Game - Behind The Scenes,392132,Taylor Swift
All That You Need,58,Don Diablo,Don Diablo - Higher ft  Betty Who | Official Music Video,145826,Don Diablo
All That You Need,58,Don Diablo,Don Diablo ft. Ansel Elgort - Believe | Lyric Video,270593,Don Diablo
Boulevard of Broken Dreams,77,Green Day,Green Day - Back In The USA (Official Music Video),646615,Green Day
Boulevard of Broken Dreams,77,Green Day,Green Day - 2000 Light Years Away,118094,Green Day
House of Memories,85,Panic! At The Disco,Panic! At The Disco - Feels Like Christmas,424955,Panic! At The Disco
House of Memories,85,Panic! At The Disco,Panic! At The Disco: High Hopes (Audio),554371,Panic! At The Disco
Don’t Give Up On Me,51,Andy Grammer,Andy Grammer - The Good Parts (Official Audio),33315,Andy Grammer
Just One Step,27,Shoshana Bean,Taylor Swift - I Did Something Bad (Cover) | By Shoshana Bean and Cynthia Erivo,80811,Shoshana Bean
Just One Step,27,Shoshana Bean,This Is Me - Cover by Shoshana Bean Featuring Travis Wall,114133,Shoshana Bean
Slow Dancing in a Burning Room,74,John Mayer,John Mayer - New Light (Premium Content!),798095,John Mayer
Girl on Fire,77,Alicia Keys,Alicia Keys - When You Were Gone,95944,Alicia Keys
My Silver Lining,66,First Aid Kit,First Aid Kit - Fireworks (Official Lyric Video),13128,First Aid Kit
I Surrender - Live,56,Hillsong Worship,Seasons (Live) - Hillsong Worship,106144,Hillsong Worship
